Company,Invoice Date,Sale Date,Invoice Number,VIN,Charge Type,Amount,Full Amount,Source File
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Buyer Fee,270.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Environmental Fee,15.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Gate Fee,95.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Goodwill Credit,-125.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Sale Price,1250.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Storage,90.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Title Pickup Fee,20.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
Copart,2026-01-09,2025-12-23,96166485,5FNRL5H35GB136405,Virtual Bid Fee,85.0,1700.0,5FNRL5H35GB136405_Done_Done_Error_Error_Error.pdf
